data_hora,timestamp_ms,umidade_solo,temperatura,leitura_ldr,ph,botao_N,botao_P,botao_K,bomba_ligada
2024-09-01 01:20:00,80000,39.44,15.54,1742,7.17,false,false,false,false
2024-09-01 01:22:00,82000,39.68,18.60,656,6.04,false,false,false,false
2024-09-01 01:24:00,84000,39.57,16.90,846,7.35,false,false,false,false
2024-09-01 01:26:00,86000,33.72,15.00,1308,7.43,false,true,false,false
2024-09-01 01:28:00,88000,27.81,15.49,1240,7.21,false,false,false,false
2024-09-01 01:30:00,90000,37.26,17.30,1338,5.95,false,false,false,true
2024-09-01 01:32:00,92000,36.26,18.83,1170,7.13,false,false,false,false
2024-09-01 01:34:00,94000,28.78,18.57,580,7.52,false,false,false,false
2024-09-01 01:36:00,96000,32.48,15.00,904,6.41,false,true,false,false
2024-09-01 01:38:00,98000,30.86,15.90,1051,6.04,false,false,false,false
2024-09-01 01:40:00,100000,31.99,17.82,852,6.54,false,false,false,false
2024-09-01 01:42:00,102000,35.25,17.05,1097,6.22,false,false,false,false
2024-09-01 01:44:00,104000,34.66,18.59,1394,7.93,false,false,false,false
2024-09-01 01:46:00,106000,42.02,18.66,1764,7.93,false,false,false,false
2024-09-01 01:48:00,108000,30.37,17.06,1503,7.71,false,false,false,false
2024-09-01 01:50:00,110000,31.04,17.79,514,7.86,false,false,false,false
2024-09-01 01:52:00,112000,32.01,19.70,1196,6.15,false,false,false,false
2024-09-01 01:54:00,114000,36.64,17.38,1569,7.43,false,false,false,false
2024-09-01 01:56:00,116000,29.20,18.99,816,7.64,false,false,false,false
2024-09-01 01:58:00,118000,43.22,18.03,635,6.82,false,false,false,false
2024-09-01 02:00:00,120000,45.65,15.98,1063,7.43,false,true,false,false
2024-09-01 02:02:00,122000,43.84,17.43,997,5.75,false,false,false,false
2024-09-01 02:04:00,124000,46.36,19.42,815,6.06,false,false,false,false
2024-09-01 02:06:00,126000,45.84,19.35,908,5.84,false,false,false,false
2024-09-01 02:08:00,128000,39.47,20.69,562,6.21,false,false,false,false
2024-09-01 02:10:00,130000,32.91,18.43,1729,6.49,false,false,false,false
2024-09-01 02:12:00,132000,38.82,17.06,1753,7.82,false,false,false,false
2024-09-01 02:14:00,134000,46.78,20.13,1642,5.72,false,false,false,false
2024-09-01 02:16:00,136000,32.84,18.02,1741,6.42,false,false,false,false
2024-09-01 02:18:00,138000,38.09,15.69,1516,6.24,false,false,false,false
2024-09-01 02:20:00,140000,39.41,17.35,623,5.95,false,false,false,true
2024-09-01 02:22:00,142000,39.67,16.64,1324,5.57,false,false,false,true
2024-09-01 02:24:00,144000,40.12,18.60,834,6.29,false,false,false,false
2024-09-01 02:26:00,146000,37.96,19.89,1309,7.32,false,false,false,false
2024-09-01 02:28:00,148000,47.24,16.80,1698,6.29,false,false,false,false
2024-09-01 02:30:00,150000,45.69,17.64,520,5.65,false,false,false,false
2024-09-01 02:32:00,152000,42.06,17.98,1509,6.94,false,false,false,false
2024-09-01 02:34:00,154000,31.52,16.96,1506,5.98,false,false,false,true
2024-09-01 02:36:00,156000,31.62,18.14,1602,7.63,false,false,false,false
2024-09-01 02:38:00,158000,37.12,16.53,823,7.00,false,false,false,false
2024-09-01 02:40:00,160000,27.75,19.17,1177,7.90,false,false,false,false
2024-09-01 02:42:00,162000,44.26,18.83,1490,7.42,false,false,false,false
2024-09-01 02:44:00,164000,42.19,19.80,503,7.41,false,false,false,false
2024-09-01 02:46:00,166000,30.71,16.36,1589,6.33,false,false,false,false
2024-09-01 02:48:00,168000,37.48,20.99,1054,7.68,false,false,false,false
2024-09-01 02:50:00,170000,34.24,16.46,1546,6.19,false,false,false,false
2024-09-01 02:52:00,172000,34.61,16.19,1026,6.43,false,false,false,false
2024-09-01 02:54:00,174000,41.28,20.13,698,6.56,true,false,false,false
2024-09-01 02:56:00,176000,31.39,17.68,755,7.04,false,false,false,false
2024-09-01 02:58:00,178000,43.50,20.79,1658,7.85,false,false,false,false
2024-09-01 03:00:00,180000,28.93,20.15,1645,7.00,false,false,false,false
2024-09-01 03:02:00,182000,44.01,21.18,1539,7.04,false,false,false,false
2024-09-01 03:04:00,184000,30.01,21.25,1489,7.74,false,false,false,false
2024-09-01 03:06:00,186000,43.80,21.63,802,7.12,false,false,false,false
2024-09-01 03:08:00,188000,35.20,17.10,1722,7.50,false,false,false,false
2024-09-01 03:10:00,190000,43.03,17.78,1186,7.07,false,false,false,false
2024-09-01 03:12:00,192000,31.26,19.22,1775,5.94,false,false,false,true
2024-09-01 03:14:00,194000,42.75,16.18,1592,6.21,false,false,false,false
2024-09-01 03:16:00,196000,43.19,20.90,1429,6.30,false,false,false,false
2024-09-01 03:18:00,198000,30.06,20.69,910,5.76,false,false,false,true
2024-09-01 03:20:00,200000,30.77,17.81,1009,6.97,false,false,false,false
2024-09-01 03:22:00,202000,36.01,16.49,593,7.06,false,true,false,false
2024-09-01 03:24:00,204000,40.34,19.11,1471,5.92,false,false,false,false
2024-09-01 03:26:00,206000,44.54,18.99,1609,7.49,false,false,false,false
2024-09-01 03:28:00,208000,42.16,19.67,1642,7.97,false,false,false,false
2024-09-01 03:30:00,210000,42.68,20.42,968,6.21,false,false,false,false
2024-09-01 03:32:00,212000,46.29,20.02,865,6.23,false,false,false,false
2024-09-01 03:34:00,214000,46.12,21.98,1789,7.25,false,false,false,false
2024-09-01 03:36:00,216000,35.33,17.96,1341,7.39,false,false,false,false
2024-09-01 03:38:00,218000,47.77,17.36,664,5.89,false,false,false,false
2024-09-01 03:40:00,220000,45.83,18.86,1158,5.50,false,false,false,false
2024-09-01 03:42:00,222000,32.16,21.82,794,7.03,false,false,false,false
2024-09-01 03:44:00,224000,34.37,19.14,1126,7.41,false,false,false,false
2024-09-01 03:46:00,226000,46.82,21.62,1511,6.38,false,false,false,false
2024-09-01 03:48:00,228000,34.41,16.01,840,7.75,false,false,false,false
2024-09-01 03:50:00,230000,35.65,17.34,1406,8.55,true,false,false,true
2024-09-01 03:52:00,232000,46.34,21.18,1648,7.39,false,false,false,false
2024-09-01 03:54:00,234000,44.61,19.14,776,6.07,false,false,false,false
2024-09-01 03:56:00,236000,45.80,17.49,1740,6.66,false,false,false,false
2024-09-01 03:58:00,238000,44.25,16.71,1082,6.00,false,false,false,false
2024-09-01 04:00:00,240000,41.69,22.01,1465,8.10,true,false,false,true
2024-09-01 04:02:00,242000,41.85,22.25,1265,6.87,false,true,false,false
2024-09-01 04:04:00,244000,30.95,21.48,1226,5.78,false,false,false,true
2024-09-01 04:06:00,246000,41.37,20.57,1795,6.62,false,false,false,false
2024-09-01 04:08:00,248000,37.00,19.62,659,6.32,false,false,false,false
2024-09-01 04:10:00,250000,40.28,16.70,1520,5.94,false,false,false,false
2024-09-01 04:12:00,252000,40.08,20.18,619,6.40,false,false,false,false
2024-09-01 04:14:00,254000,40.98,19.68,1322,7.51,false,false,false,false
2024-09-01 04:16:00,256000,33.88,18.36,715,6.26,false,false,false,false
2024-09-01 04:18:00,258000,42.16,18.95,1239,7.95,true,false,false,false
2024-09-01 04:20:00,260000,32.46,22.43,1269,6.79,false,false,false,false
2024-09-01 04:22:00,262000,43.72,18.44,1755,6.86,false,false,false,false
2024-09-01 04:24:00,264000,37.56,20.09,1397,7.07,false,false,false,false
2024-09-01 04:26:00,266000,36.41,19.96,1535,7.29,false,false,false,false
2024-09-01 04:28:00,268000,45.46,18.64,1439,6.56,false,false,false,false
2024-09-01 04:30:00,270000,47.86,17.44,1435,7.29,false,false,false,false
2024-09-01 04:32:00,272000,35.54,17.20,509,5.99,false,false,false,true
2024-09-01 04:34:00,274000,45.12,18.09,588,7.34,false,false,true,false
2024-09-01 04:36:00,276000,41.05,19.27,919,6.57,false,false,false,false
2024-09-01 04:38:00,278000,42.80,21.65,879,7.98,false,false,false,false
2024-09-01 04:40:00,280000,46.82,19.63,759,7.39,false,false,false,false
2024-09-01 04:42:00,282000,46.69,20.39,1217,6.54,false,false,false,false
2024-09-01 04:44:00,284000,32.73,21.51,1077,7.49,false,false,false,false
2024-09-01 04:46:00,286000,42.68,17.39,528,7.51,false,false,false,false
2024-09-01 04:48:00,288000,42.12,21.77,631,6.16,false,false,false,false
2024-09-01 04:50:00,290000,42.09,21.21,1482,7.96,false,false,false,false
2024-09-01 04:52:00,292000,41.94,17.91,1354,7.97,false,false,false,false
2024-09-01 04:54:00,294000,49.29,22.17,1388,5.98,false,false,false,false
2024-09-01 04:56:00,296000,44.41,16.80,1396,5.65,false,false,false,false
2024-09-01 04:58:00,298000,35.86,21.72,1768,6.01,false,false,false,false
2024-09-01 05:00:00,300000,45.22,22.20,581,6.91,false,false,false,false
2024-09-01 05:02:00,302000,44.23,19.28,1279,6.27,false,false,false,false
2024-09-01 05:04:00,304000,31.50,21.89,1393,8.02,true,false,false,true
2024-09-01 05:06:00,306000,42.66,23.15,1173,7.03,false,false,false,false
2024-09-01 05:08:00,308000,33.44,20.73,1557,7.51,false,false,false,false
2024-09-01 05:10:00,310000,47.19,17.50,1224,5.97,false,false,false,false
2024-09-01 05:12:00,312000,34.30,17.67,675,7.83,false,false,false,false
2024-09-01 05:14:00,314000,44.35,21.84,1400,6.35,false,false,false,false
2024-09-01 05:16:00,316000,47.71,23.16,1420,6.52,false,false,false,false
2024-09-01 05:18:00,318000,44.57,18.11,1073,7.41,false,false,false,false
2024-09-01 05:20:00,320000,47.85,22.07,504,6.69,false,false,false,false
2024-09-01 05:22:00,322000,41.00,20.11,692,7.09,false,false,false,false
2024-09-01 05:24:00,324000,44.27,21.04,979,7.79,false,false,false,false
2024-09-01 05:26:00,326000,42.76,19.13,1334,7.15,false,false,false,false
2024-09-01 05:28:00,328000,37.29,18.42,642,5.85,false,false,false,true
2024-09-01 05:30:00,330000,42.25,21.83,1265,7.48,false,false,false,false
2024-09-01 05:32:00,332000,42.90,23.22,553,5.90,false,false,false,false
2024-09-01 05:34:00,334000,42.17,20.55,1284,6.91,false,false,false,false
2024-09-01 05:36:00,336000,33.42,22.60,793,6.45,false,false,true,false
2024-09-01 05:38:00,338000,47.60,18.52,1366,6.57,true,false,false,false
2024-09-01 05:40:00,340000,41.54,17.53,548,6.50,false,false,false,false
2024-09-01 05:42:00,342000,42.38,22.92,1082,7.31,false,false,false,false
2024-09-01 05:44:00,344000,47.46,19.96,1038,7.59,false,false,false,false
2024-09-01 05:46:00,346000,43.02,20.22,981,6.72,false,false,false,false
2024-09-01 05:48:00,348000,48.03,18.76,617,5.79,false,false,false,false
2024-09-01 05:50:00,350000,49.78,20.75,1175,6.61,false,false,false,false
2024-09-01 05:52:00,352000,40.46,17.61,1667,6.69,false,false,false,false
2024-09-01 05:54:00,354000,31.97,21.38,1089,6.62,false,false,false,false
2024-09-01 05:56:00,356000,37.76,18.83,507,7.88,false,false,false,false
2024-09-01 05:58:00,358000,35.16,18.27,786,7.43,false,true,false,false
2024-09-01 06:00:00,360000,36.48,21.27,1082,6.55,false,false,false,false
2024-09-01 06:02:00,362000,33.66,23.87,693,5.85,false,false,false,true
2024-09-01 06:04:00,364000,47.80,20.95,850,5.78,false,false,false,false
2024-09-01 06:06:00,366000,36.76,21.94,725,7.24,false,false,false,false
2024-09-01 06:08:00,368000,42.22,23.86,1752,7.97,false,false,true,false
2024-09-01 06:10:00,370000,35.19,21.06,1530,6.05,false,false,false,false
2024-09-01 06:12:00,372000,44.75,23.17,524,6.71,false,false,false,false
2024-09-01 06:14:00,374000,40.53,23.87,1248,7.77,false,false,true,false
2024-09-01 06:16:00,376000,44.09,22.51,940,6.43,false,false,false,false
2024-09-01 06:18:00,378000,36.62,20.89,1742,5.95,false,false,false,true
2024-09-01 06:20:00,380000,50.29,18.86,940,6.37,false,false,false,false
2024-09-01 06:22:00,382000,36.46,20.76,834,6.29,false,false,false,false
2024-09-01 06:24:00,384000,50.82,18.69,671,7.64,false,false,false,false
2024-09-01 06:26:00,386000,43.90,19.57,1555,7.65,false,false,false,false
2024-09-01 06:28:00,388000,44.03,20.79,524,7.62,false,false,false,false
2024-09-01 06:30:00,390000,43.43,20.35,1269,7.99,true,false,false,false
2024-09-01 06:32:00,392000,51.85,23.41,1214,7.27,false,false,false,false
2024-09-01 06:34:00,394000,33.03,23.76,1613,6.99,false,false,false,false
2024-09-01 06:36:00,396000,43.93,23.73,1679,7.42,false,false,false,false
2024-09-01 06:38:00,398000,42.35,20.36,817,7.26,false,false,false,false
2024-09-01 06:40:00,400000,48.11,23.21,601,7.73,false,false,false,false
2024-09-01 06:42:00,402000,49.49,19.83,1332,6.77,false,false,false,false
2024-09-01 06:44:00,404000,37.71,18.38,1243,6.08,false,false,false,false
2024-09-01 06:46:00,406000,48.67,22.00,1604,5.55,false,false,false,false
2024-09-01 06:48:00,408000,48.90,21.26,1367,6.19,false,false,false,false
2024-09-01 06:50:00,410000,45.05,20.53,1282,7.36,false,false,false,false
2024-09-01 06:52:00,412000,39.86,22.91,945,7.55,false,false,false,false
2024-09-01 06:54:00,414000,45.97,18.39,1470,5.60,false,false,false,false
2024-09-01 06:56:00,416000,47.96,19.86,506,7.19,false,false,false,false
2024-09-01 06:58:00,418000,46.45,21.90,835,7.72,false,false,false,false
2024-09-01 07:00:00,420000,46.76,19.77,964,7.41,false,false,false,false
2024-09-01 07:02:00,422000,37.69,20.03,1661,5.71,false,false,false,true
2024-09-01 07:04:00,424000,42.07,22.73,1653,6.66,false,false,false,false
2024-09-01 07:06:00,426000,50.93,24.56,1095,7.29,false,false,false,false
2024-09-01 07:08:00,428000,52.51,23.11,588,5.56,false,false,false,false
2024-09-01 07:10:00,430000,37.40,22.78,1418,5.56,false,false,false,true
2024-09-01 07:12:00,432000,38.83,20.91,750,6.57,false,false,false,false
2024-09-01 07:14:00,434000,39.33,23.47,583,7.71,false,false,false,false
2024-09-01 07:16:00,436000,43.42,23.67,1700,6.99,false,false,false,false
2024-09-01 07:18:00,438000,39.04,18.86,1342,6.35,false,false,false,false
2024-09-01 07:20:00,440000,38.72,24.18,519,7.26,false,false,false,false
2024-09-01 07:22:00,442000,35.16,19.30,1077,7.12,false,false,false,false
2024-09-01 07:24:00,444000,39.56,19.76,646,6.54,false,false,false,false
2024-09-01 07:26:00,446000,37.13,21.25,1405,6.22,false,false,false,false
2024-09-01 07:28:00,448000,53.06,19.26,538,6.01,false,false,false,false
2024-09-01 07:30:00,450000,43.14,18.94,1327,6.23,false,false,false,false
2024-09-01 07:32:00,452000,38.61,22.38,1692,7.99,false,false,false,false
2024-09-01 07:34:00,454000,38.92,22.94,800,6.27,false,false,false,false
2024-09-01 07:36:00,456000,44.09,18.73,760,5.65,false,false,false,false
2024-09-01 07:38:00,458000,35.32,19.29,1072,5.96,false,false,false,true
2024-09-01 07:40:00,460000,53.71,24.36,1277,7.95,false,false,false,false
2024-09-01 07:42:00,462000,51.10,18.92,1255,7.39,false,false,false,false
2024-09-01 07:44:00,464000,43.91,20.71,770,6.36,false,false,false,false
2024-09-01 07:46:00,466000,38.58,19.31,1201,6.87,false,false,false,false
2024-09-01 07:48:00,468000,50.21,22.17,1002,7.41,false,true,false,false
2024-09-01 07:50:00,470000,36.02,23.19,982,7.10,false,false,false,false
2024-09-01 07:52:00,472000,44.19,21.09,788,6.74,false,false,false,false
2024-09-01 07:54:00,474000,41.43,23.97,1721,7.19,false,false,false,false
2024-09-01 07:56:00,476000,37.78,23.58,1161,7.04,false,false,true,false
2024-09-01 07:58:00,478000,42.59,19.92,1670,5.97,false,false,false,false
2024-09-01 08:00:00,480000,39.93,24.79,523,5.89,false,false,false,true
2024-09-01 08:02:00,482000,45.67,20.42,537,5.79,false,false,false,false
2024-09-01 08:04:00,484000,36.42,22.37,735,7.93,false,false,false,false
2024-09-01 08:06:00,486000,41.45,21.42,714,5.13,false,true,false,false
2024-09-01 08:08:00,488000,35.35,24.49,1246,5.62,false,false,false,true
2024-09-01 08:10:00,490000,48.59,23.04,1746,7.95,false,false,false,false
2024-09-01 08:12:00,492000,35.96,21.37,522,7.66,false,false,false,false
2024-09-01 08:14:00,494000,53.16,22.74,1634,7.01,false,false,true,false
2024-09-01 08:16:00,496000,46.94,23.65,1426,6.77,false,false,false,false
2024-09-01 08:18:00,498000,53.28,22.92,986,7.31,false,false,false,false
2024-09-01 08:20:00,500000,35.59,21.24,843,7.98,true,false,false,false
2024-09-01 08:22:00,502000,45.84,23.87,747,5.93,false,false,false,false
2024-09-01 08:24:00,504000,51.93,19.47,1673,6.69,false,false,false,false
2024-09-01 08:26:00,506000,38.83,22.32,1155,7.66,false,false,false,false
2024-09-01 08:28:00,508000,37.22,24.49,687,5.85,false,false,false,true
2024-09-01 08:30:00,510000,38.90,23.59,936,6.94,false,false,false,false
2024-09-01 08:32:00,512000,52.72,25.16,1210,7.32,false,false,false,false
2024-09-01 08:34:00,514000,52.89,21.51,1337,5.63,false,false,false,false
2024-09-01 08:36:00,516000,40.08,22.67,1393,6.27,false,false,false,false
2024-09-01 08:38:00,518000,35.05,25.00,1580,6.96,false,false,false,false
2024-09-01 08:40:00,520000,49.96,22.83,861,6.25,false,false,false,false
2024-09-01 08:42:00,522000,40.96,19.36,837,7.63,false,false,false,false
2024-09-01 08:44:00,524000,54.30,23.48,1306,7.44,false,false,false,false
2024-09-01 08:46:00,526000,39.55,22.58,952,5.91,false,false,false,true
2024-09-01 08:48:00,528000,44.19,24.02,1442,6.85,false,false,false,false
2024-09-01 08:50:00,530000,50.05,23.74,1525,7.23,false,false,false,false
2024-09-01 08:52:00,532000,51.43,19.97,1765,6.82,true,false,true,false
2024-09-01 08:54:00,534000,43.71,25.00,1406,6.89,false,false,false,false
2024-09-01 08:56:00,536000,45.30,21.75,1769,7.10,false,false,false,false
2024-09-01 08:58:00,538000,39.46,24.19,925,7.59,false,false,false,false
2024-09-01 09:00:00,540000,52.11,24.32,973,6.02,false,true,false,false
2024-09-01 09:02:00,542000,41.45,21.19,1006,6.91,false,false,false,false
2024-09-01 09:04:00,544000,51.81,20.34,1658,5.70,false,false,false,false
2024-09-01 09:06:00,546000,50.03,21.45,1560,5.58,false,false,false,false
2024-09-01 09:08:00,548000,49.42,23.19,923,7.02,false,false,false,false
2024-09-01 09:10:00,550000,45.46,25.53,1550,7.96,false,false,false,false
2024-09-01 09:12:00,552000,49.78,21.10,1346,6.11,false,false,false,false
2024-09-01 09:14:00,554000,55.38,25.53,1071,7.27,false,false,true,false
2024-09-01 09:16:00,556000,56.16,22.77,1353,6.33,false,true,false,false
2024-09-01 09:18:00,558000,47.34,23.58,802,7.55,false,false,false,false
2024-09-01 09:20:00,560000,44.62,25.59,767,7.12,false,false,false,false
2024-09-01 09:22:00,562000,51.48,23.44,1573,6.75,false,false,false,false
2024-09-01 09:24:00,564000,52.98,21.22,1224,6.21,false,false,false,false
2024-09-01 09:26:00,566000,55.53,21.86,1269,6.28,false,false,false,false
2024-09-01 09:28:00,568000,52.65,21.67,1304,8.70,true,false,false,true
2024-09-01 09:30:00,570000,46.86,23.80,1193,7.78,false,false,true,false
2024-09-01 09:32:00,572000,42.71,20.92,620,6.35,false,false,false,false
2024-09-01 09:34:00,574000,54.83,24.99,751,7.44,false,false,false,false
2024-09-01 09:36:00,576000,36.33,20.77,1207,7.80,false,false,true,false
2024-09-01 09:38:00,578000,47.93,24.27,503,7.62,false,false,false,false
2024-09-01 09:40:00,580000,48.85,22.79,988,5.73,false,false,false,false
2024-09-01 09:42:00,582000,54.11,23.39,1232,5.86,false,false,false,false
2024-09-01 09:44:00,584000,53.91,21.87,1147,7.11,false,false,false,false
2024-09-01 09:46:00,586000,51.58,21.11,1351,6.89,false,false,false,false
2024-09-01 09:48:00,588000,43.16,20.55,1405,5.65,false,false,false,false
2024-09-01 09:50:00,590000,41.80,23.71,656,7.93,false,false,false,false
2024-09-01 09:52:00,592000,39.50,21.70,527,6.68,false,false,false,false
2024-09-01 09:54:00,594000,53.85,23.13,897,6.70,false,false,false,false
2024-09-01 09:56:00,596000,43.27,21.03,978,6.03,false,false,false,false
2024-09-01 09:58:00,598000,45.81,24.96,628,7.08,false,false,false,false
2024-09-01 10:00:00,600000,47.60,23.54,1548,6.50,false,false,false,false
2024-09-01 10:02:00,602000,43.44,20.83,1056,6.73,false,true,false,false
2024-09-01 10:04:00,604000,51.99,21.44,1311,7.97,false,false,false,false
2024-09-01 10:06:00,606000,50.93,21.97,1562,6.15,false,true,false,false
2024-09-01 10:08:00,608000,39.83,23.66,811,5.63,false,false,false,true
2024-09-01 10:10:00,610000,43.42,24.92,774,7.30,false,false,false,false
2024-09-01 10:12:00,612000,38.28,22.26,662,6.00,false,false,false,false
2024-09-01 10:14:00,614000,56.50,23.30,1435,5.53,false,false,false,false
2024-09-01 10:16:00,616000,40.13,22.84,1006,7.53,false,false,false,false
2024-09-01 10:18:00,618000,43.72,25.88,1519,6.87,true,false,false,false
2024-09-01 10:20:00,620000,41.85,23.76,645,7.46,false,false,false,false
2024-09-01 10:22:00,622000,43.20,22.56,1261,5.73,false,false,false,false
2024-09-01 10:24:00,624000,41.03,26.10,1019,7.95,false,false,false,false
2024-09-01 10:26:00,626000,50.22,22.98,1591,8.49,true,false,false,true
2024-09-01 10:28:00,628000,45.79,20.84,1777,6.85,false,false,false,false
2024-09-01 10:30:00,630000,46.81,21.77,785,7.61,false,false,false,false
2024-09-01 10:32:00,632000,51.82,22.94,699,6.64,false,false,false,false
2024-09-01 10:34:00,634000,38.89,21.48,797,6.07,false,false,false,false
2024-09-01 10:36:00,636000,56.90,23.07,1405,7.47,false,false,false,false
2024-09-01 10:38:00,638000,56.51,20.72,1186,5.41,false,true,false,false
2024-09-01 10:40:00,640000,50.27,24.54,622,5.59,false,false,false,false
2024-09-01 10:42:00,642000,53.07,23.75,915,6.60,false,false,false,false
2024-09-01 10:44:00,644000,45.16,26.38,519,5.81,false,false,false,false
2024-09-01 10:46:00,646000,55.07,25.28,870,5.70,false,false,false,false
2024-09-01 10:48:00,648000,42.63,24.25,1491,6.40,false,false,false,false
2024-09-01 10:50:00,650000,48.33,23.51,1283,7.13,false,false,false,false
2024-09-01 10:52:00,652000,48.92,23.63,1507,5.59,false,false,false,false
2024-09-01 10:54:00,654000,57.24,22.51,971,6.38,false,false,false,false
2024-09-01 10:56:00,656000,52.20,23.18,549,7.26,false,false,false,false
2024-09-01 10:58:00,658000,38.08,23.77,701,6.79,false,true,false,false
2024-09-01 11:00:00,660000,43.22,25.38,811,7.93,false,false,false,false
2024-09-01 11:02:00,662000,45.31,23.90,863,6.67,false,false,false,false
2024-09-01 11:04:00,664000,47.01,21.39,1152,6.96,false,false,false,false
2024-09-01 11:06:00,666000,45.34,27.27,1352,7.93,false,false,false,false
2024-09-01 11:08:00,668000,40.97,26.59,1161,8.18,true,false,false,true
2024-09-01 11:10:00,670000,51.46,24.27,1003,6.91,false,false,false,false
2024-09-01 11:12:00,672000,50.40,26.65,959,7.42,false,false,false,false
2024-09-01 11:14:00,674000,40.85,22.39,1048,6.24,false,false,false,false
2024-09-01 11:16:00,676000,49.41,23.74,687,5.98,false,false,false,false
2024-09-01 11:18:00,678000,44.34,25.89,1607,7.98,false,false,false,false
2024-09-01 11:20:00,680000,56.79,21.65,922,7.10,false,false,false,false
2024-09-01 11:22:00,682000,56.60,24.86,1565,6.69,false,false,false,false
2024-09-01 11:24:00,684000,45.82,25.02,1325,7.84,false,false,false,false
2024-09-01 11:26:00,686000,45.97,22.38,1766,6.54,false,false,false,false
2024-09-01 11:28:00,688000,53.01,22.39,1265,7.81,false,false,false,false
2024-09-01 11:30:00,690000,46.53,22.44,1554,7.09,false,false,false,false
2024-09-01 11:32:00,692000,58.49,23.64,868,7.26,false,false,false,false
2024-09-01 11:34:00,694000,58.55,26.93,1425,7.55,false,false,false,false
2024-09-01 11:36:00,696000,49.12,21.87,1375,7.38,false,false,false,false
2024-09-01 11:38:00,698000,41.74,24.76,1389,6.91,false,false,false,false
2024-09-01 11:40:00,700000,56.65,24.72,762,5.69,false,false,false,false
2024-09-01 11:42:00,702000,55.38,23.74,1014,7.34,false,false,false,false
2024-09-01 11:44:00,704000,40.16,26.99,1658,7.81,false,false,false,false
2024-09-01 11:46:00,706000,49.75,22.84,1640,5.89,false,false,false,false
2024-09-01 11:48:00,708000,52.63,26.98,870,7.03,false,false,false,false
2024-09-01 11:50:00,710000,44.21,25.89,1389,7.30,false,false,false,false
2024-09-01 11:52:00,712000,40.43,25.34,902,6.51,false,false,false,false
2024-09-01 11:54:00,714000,44.38,24.20,1114,5.66,false,false,false,false
2024-09-01 11:56:00,716000,53.53,27.07,1446,7.36,false,false,true,false
